seed,repetition,opponent,eleanor_avg,opponent_avg,margin
0,9,Joss: 0.9,2.445,2.67,-0.2250000000000001
0,9,Tullock,1.365,1.415,-0.050000000000000044
0,9,Anonymous,3.07,0.57,2.5
0,9,Random: 0.5,2.76,1.11,1.6499999999999997
0,10,Cu,3.01,2.985,0.02499999999999991
0,10,Du,0.975,1.1,-0.1250000000000001
0,10,Tit For Tat,3.01,2.985,0.02499999999999991
0,10,spiteful,3.01,2.985,0.02499999999999991
0,10,soft_majo,3.01,2.985,0.02499999999999991
0,10,hard_majo,2.99,2.99,0.0
0,10,per_cd,2.685,1.31,1.375
0,10,per_ccd,3.29,1.19,2.1
0,10,per_ddc,2.29,0.765,1.525
0,10,mistrust,2.99,2.99,0.0
0,10,WSLS,3.01,2.985,0.02499999999999991
0,10,TFTT,3.01,2.985,0.02499999999999991
0,10,hard_tft,3.01,2.985,0.02499999999999991
0,10,slow_tft,3.01,2.985,0.02499999999999991
0,10,GrdTFT,3.01,2.985,0.02499999999999991
0,10,prober,3.005,2.98,0.02499999999999991
0,10,mem2,3.01,2.985,0.02499999999999991
0,10,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,10,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,10,Nydegger,3.01,2.985,0.02499999999999991
0,10,Grofman,3.01,2.985,0.02499999999999991
0,10,Shubik,3.01,2.985,0.02499999999999991
0,10,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,10,GRIM,3.01,2.985,0.02499999999999991
0,10,Davis: 10,3.01,2.985,0.02499999999999991
0,10,Graaskamp: 0.05,3.335,2.285,1.0499999999999998
0,10,Downing,1.125,1.05,0.07499999999999996
0,10,"Feld: 1.0, 0.5, 200",2.03,2.405,-0.375
0,10,Joss: 0.9,1.485,1.71,-0.22499999999999987
0,10,Tullock,1.775,1.95,-0.17500000000000004
0,10,Anonymous,3.08,0.63,2.45
0,10,Random: 0.5,2.87,0.67,2.2
0,11,Cu,3.01,2.985,0.02499999999999991
0,11,Du,0.975,1.1,-0.1250000000000001
0,11,Tit For Tat,3.01,2.985,0.02499999999999991
0,11,spiteful,3.01,2.985,0.02499999999999991
0,11,soft_majo,3.01,2.985,0.02499999999999991
0,11,hard_majo,2.99,2.99,0.0
0,11,per_cd,2.685,1.31,1.375
0,11,per_ccd,3.29,1.19,2.1
0,11,per_ddc,2.29,0.765,1.525
0,11,mistrust,2.99,2.99,0.0
0,11,WSLS,3.01,2.985,0.02499999999999991
0,11,TFTT,3.01,2.985,0.02499999999999991
0,11,hard_tft,3.01,2.985,0.02499999999999991
0,11,slow_tft,3.01,2.985,0.02499999999999991
0,11,GrdTFT,3.01,2.985,0.02499999999999991
0,11,prober,3.005,2.98,0.02499999999999991
0,11,mem2,3.01,2.985,0.02499999999999991
0,11,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,11,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,11,Nydegger,3.01,2.985,0.02499999999999991
0,11,Grofman,3.01,2.985,0.02499999999999991
0,11,Shubik,3.01,2.985,0.02499999999999991
